,sentiment,content
14831,relief,"@nilsipilsifan Hehe. Yeah, me too.  or I would totally write it. XD"
13836,relief,"Happy Friday Dance, no rain and I'm about outta here..till 2morrow  I sat the saturday morning shift, but its still all good"
32078,relief,@JJLola Thanxx for following me
25522,relief,"times for lame school, UGH!!! XP Thank God mondays r quick for me"
6538,relief,@unmarketing boo i'm a week late  how long u in town for?
39336,relief,I PUT A SHELF UP lol im well proud and yes its my twilight shelf  my books the movies going on there and obv my prezzie from lara XD (L)
35914,relief,@stephenhartley Gotta love skype! Make sure you get their new update!
21803,relief,bought beer today
38419,relief,goes to church  hallelujah!
18184,relief,of course im almost there and theres traffic
36934,relief,I will not be late.  I will not be late.  I will not be late.
15980,relief,Ratings Army Wives  teary; Criminal Minds Yikes! Criminal Intent takes all sorts. real life news  horrifying ok me for bed nite all
37085,relief,@xanister I'm glad you liked it though
27935,relief,@ROBsessedBlog At least he's in breakthrough performance tho. I just wanted him nominated in his own category
23834,relief,Birthday Girl ?  blessed to live another year &amp; celebrate with loved ones
24658,relief,nice weather..looks like its going to rain here in #Delhi.
21276,relief,thank god i havent quit my day job  ps. turning 27 tomorrow. i just round up to 30 now.
37703,relief,Came tantalizingly close to acing a Facebook communism quiz. One question has &quot;I hope Britain will be next communist&quot; as correct answer.
3927,relief,Just got up a half hour ago.... Ugh not much sleep
2995,relief,is gutted to be at work when it is sooo nice outside
25857,relief,@LemonpiY lol you mite be able to see them on facebook if you have it (and if you add me). Obviously I can't post them on my blog
34237,relief,Studying like crazy in hopes of acing all of my exams!!!!!
15602,relief,Always get my hopes up too soon...we were soooo close
29636,relief,is  happy  cause  my  voice  is  back  &lt;3
27123,relief,"Finally picked up some handwraps, but struggling to wrap my stronger hand with the other! Defo should have got some a lot sooner though"
4193,relief,Pas si terrific que ï¿½a ce twitterrific
33784,relief,@Mumbleguy We need men to give their input too so I'll fill u in on the time very soon
6091,relief,@DAC1MM don't know yet.. no word...   hopeful though!! and some good stuff happening lately so I'm getting excited!
27465,relief,Six Flags this weekend? Sounds right!
24623,relief,"@Hooked4Life Sheesh. No crochet? BAH and humbug. And sleep? Um, I suppose I will someday"
39151,relief,"HALLELUJAH! I've finally finished my Careers assignment! The feeling of finishing a task is great, you have no idea. Or maybe you do. lol"
39672,relief,@aneD Well thank you! I'll try and remember to put it somewhere
