,sentiment,content
34880,happiness,"@SamBennington  Welcome to Twitter  It's really cool that you are here! Greetings from Vienna,Austria"
22804,happiness,A salute to Chapel Hill North Carolina. From SY  * ? http://blip.fm/~5jgj3
26036,happiness,asks thnx for gritiNg    take caRE Too  God BleSS http://plurk.com/p/rqo76
23096,happiness,"is listening to Sunlounger's music, waiting for the sun to set."
30965,happiness,Makeup + cute dress = I'm ready to go
8034,happiness,"Oh, I HELLA forgot to say my official good morning  Like to hear it? Here it go! Goooooooooooood Morrrrrrrrning Twitterville! Lol"
36120,happiness,@djunity thanks!
28960,happiness,@AnnCurry The photos are AMAZING! What a GREAT subject &amp; way to get people educated about Darfur! HUGS! U are an inspiring woman!
27425,happiness,"@marieskizo Amazing! The concert, the city, everything. It was really an awesome trip"
27891,happiness,subway  im going to get subway....  love it! ate it often when i was in new zealand....
3507,happiness,@iPat143  hmm.. idk that song.
22611,happiness,@carlocruuuz good! you joined the dark side hahahaha we have cookies!
6447,happiness,@ShannonGrissom @grannypig #followfriday thank you!  I'm still not even close to what I had as @GottaLaff
23004,happiness,"is sipping OJ in the sun in San Pedro at La Soberana again, with sunny smiley Nita...  The garlic tomato paste is delicious! Yummy!!!"
24366,happiness,may the 4th be with you! HAPPY STAR WARS DAY!
24312,happiness,3oh!3 on the radio  they were amazing yesterday.
34775,happiness,"I have seen Star Trek, so now you guys can't spoil it  If you haven't seen it, Go. Go now."
39674,happiness,Hey mates. I just came home from the beach.  I'm hella tired. It was a 4-hour ride.
27914,happiness,@gamerbabe360 I'm feeling a little sleepy now. Been reading Gunter Grass... wonderful but tiny print. Eyes done in
7875,happiness,"Enjoyed this week off work, back next week"
39109,happiness,@decadentdecay Chica! Two more days!  I want the US Elle too.
26030,happiness,@elle6503 Woo Hoo.!  I made it to one of your Favorites!  See.... Monday's Rock!!
39122,happiness,Off to have a sumptuous Mexican meal!
39532,happiness,Law week is gonna go the fuck off  SO EXCITED
34073,happiness,@BabyvibeNancy Hi Nancy your fine (till it the baby moves!)  Just get out of the house &amp; do fun stuff early! The hardest jump was 1 to 2
38246,happiness,"Hi, i was just getting up now so i tought i could write something. Today i'm gonna go shopping! Soo fun, isn't it?"
9925,happiness,@hobgoods- yeah i went to satellite beach today and it was flattt  it was good for skimming though.
37264,happiness,Happy moms day
22658,happiness,@david_henrie http://twitpic.com/4jbsq - looks so good!!  i want one!!
20082,happiness,@zhayrar lol well thank you
34599,happiness,"just missing you&amp;hoping to talk to you soon..I'm so happy you're mine again, though  You have no idea..&lt;3"
31937,happiness,"2night- dance parties, fun times, &amp; awkward situations  highlight- driving w/ nims and annie listening to satellite windows downnnn"
21710,happiness,"@RobTSmith Good morning to you as well Rob, have a great day"
4811,happiness,"@putitonmyvisa haha nice! I heard it's a sweet hotel. On another note, not a good game last night"
14547,happiness,@TMills130 aaawww  no worries fresh start to work on growing it out again
26877,happiness,going to the cinema to see ghost of girlfriends past!
23948,happiness,i have a feeling today is going to be amazing
26602,happiness,@TiernanDouieb Oh gosh I hope so. How fun!
35891,happiness,Travel blog up and running!  http://charlenedianetravels.blogspot.com Can't wait to start filling it up with entries! )
38028,happiness,I have Vampire Knight  music!!!  I feel very special..
27118,happiness,Good morning everyone
26288,happiness,@ginidietrich Weather reports of a week of upper 60s make me happy  Perfect running weather!
8415,happiness,@eep2001 Might have to cancel our Disney trip this year.  Not too thrilled about it.
24083,happiness,"@cassiewho haha no problem, it's fun isn't it"
38605,happiness,uploading photos to myspace from musical i was just in
13051,happiness,i looked all cute too!
8372,happiness,almost done with my first day at the spa...I missed this place! Then headed to Fort Collins to close down casa de kent
34128,happiness,@whoaaitskristi OMG I'M SOO EXCITED! i've been waiting for it ever since i saw the 5th one at midnight the night before!
35273,happiness,"@pjhoody &quot;It's your birthday, so I know you wanna riiidddddeeee out!&quot; Have fun in the club"
32308,happiness,"@robdyrdek my husband wears the same shirt all the time, think you can send some of that this way??"
25980,happiness,We*d Man On His Way     Yess!!    Time 2 Wake Up 4 Real  lol
10720,happiness,Fever of 103. Awesome. My tonsils are so swollen I can't even eat solid food. Still on location  the pictures rule though
9759,happiness,I know I shouldn't be saying this but fuck it..I'm horny as hell
31028,happiness,woah! I Love the new twitter app! So many new things to do. just got finished watching Jon4Lakers video on this and it was good.
36945,happiness,Beer pong and dubstep. Good nite
35339,happiness,"@ferrao California waiting, every little thing's gotta be just right ? Putz, adoro essa banda"
13158,happiness,Reception food at Long Beach graduation = no Champagne  http://twitpic.com/67eba
26396,happiness,Liking the Windows 7 Release Candidate so far... (also liking my new video card and terabyte harddisk  )
6607,happiness,well im gonna go shower now. gotta get rdy 4 movies in a couple hours!   byeee   ~~  Esther &lt;3    p.s.s i miss u katherine
2887,happiness,"Just got Skyfire (http://get.skyfire.com/).  Firts impressions, it looks good but it's a little too memory hungry for my ageing HTC TyTN"
20391,happiness,9100 tweets....just living the rockstar life one tweet at a time.
33326,happiness,silly you are right here with me
33785,happiness,is really really ready!
7654,happiness,@DEWz_PingPong Awww I'm teaching my son (when I have one) those manners!  Too many boys are lacking those!
36753,happiness,just got home from work.... and is chugging down a big bottle of apple juice.
1495,happiness,why do i have to wake up so early goddam?! 7.30 on my last day off  bummer
932,happiness,"@wedplanworkshop . Flights already booked, plus its GGD2 1st birthday. Can't miss that ! especially as we missed GGD1"
11447,happiness,@TheExplodingBoi White wine reminds me of vinegar
33246,happiness,watching &quot;Look for a Star&quot; with mom again  lub ah C hehe
27489,happiness,"Ten min. on what I'm doing to stimulate biz.  18% off sale, good customer service, awards, Breast cancer camp., koozies, product variety"
35018,happiness,@JackAllTimeLow it was fun anyway..thanks for taking pics with us last minute
30123,happiness,is tired but happy the orphanage was wow.. and babysitting was really fun
11901,happiness,And it stopped raining.  Fuckingtastic! )
23803,happiness,@thebraysmommy thx! Hoping it's a good week.
36956,happiness,@markman641 HAPPY MOTHERS DAY MARK
25143,happiness,@ChristineRabel ha ha surprisingly well considering!! Having a good time in the sun up in the mountains
38103,happiness,"going to head to bed now finally...goodnight! Hopefully my dreams will consist of ravishing things, such as: Zachary Quinto."
20962,happiness,@ohmonika babe text me your email address so i can send it over
33225,happiness,Going to bed! Happy mother's day for every mom here!
26300,happiness,@sln25373 hahaha i was like :O DOUGIE THATS HARSH!!! are you happy he replied?
35807,happiness,Ra'anana is a wonderful place
20686,happiness,@cosmicgirlie good luck!! How exciting
24525,happiness,Good morning  ready to start this week.
21673,happiness,@RobKardashian Hey fellow Trojan..congrats on graduation.
29948,happiness,haciendo mi primer app con Thin + Rack + some crazy stuff...
28836,happiness,"me &amp; kelly share the same last name, wouldnt that be sweet if we were related  @TheEllenShow"
2392,happiness,@DaRealSunisaKim There's ding tai Fung here in Sydney aswell...  making me want dumplings...
38082,happiness,@MandyPandy32 Thanks hon!! Project Bra starts today!
26033,happiness,"@ikostar well, if Twitter was $1 a year, I think it'd be a lot easier to monetize than at $30  Less need for differentiated pay/nopay."
28590,happiness,@CloneCommander *Everything* is better with lightsabers
