,sentiment,content
23405,enthusiasm,@clarexsaula I am excited. Ashley and Matt should be here within the next half hour and that's when it all really starts for me.
33307,enthusiasm,"Here come the Hawks, the mighty Blackhawks!!"
6600,enthusiasm,"@HDEnvy Thanks!  Unfortunately the EU had probs with his satellite provider, so even though his TV LOOKS great, it's basically useless"
16811,enthusiasm,@TweetTwang gotta check with the bro on that...and mine is a girl
37622,enthusiasm,"@bradiewebbstack ooh yay, its been forevs since last ss tv  baked dinner is so good, how yummy. I had prawns  xx"
12135,enthusiasm,wishes she was in Boston for DMB
32703,enthusiasm,@djskee not there but wish I were
19344,enthusiasm,wishing I was attending #beatweetup I even bought a badge
35333,enthusiasm,Hecks yeah. Jandy timsamlake is too rawesome!
26594,enthusiasm,tea numver 7  (i may start on the coffee in a minute but that has way too much caffene in :S)
27109,enthusiasm,@kristianc count me in
33770,enthusiasm,@JonathanRKnight awe...Thank you Jon!
33964,enthusiasm,"@Stacina I have no doubt, darlin'!  Just wish you could find a boy worthy is all!  You're good people!"
32690,enthusiasm,@flomingo that sounds cool! post video!!
7529,enthusiasm,@loribartolozzi I just found out 5 minutes ago  mama said his speech is still slurred but he seems to be doing ok
24756,enthusiasm,"@CustomCreation - We drank ours away, May Day Bank Holiday today"
18498,enthusiasm,Hey #YEG !!!!! Anyone goin to the Edmonton Energy game and wanna do some live updates? PLEASE!!!! They dont post live scores
29489,enthusiasm,@chaosandharmony Where are you at the mo Becks??  Guessing it's you.  Met you Tga WBW when you spoke there last yr. Business or holiday?
24329,enthusiasm,feel like going home and sleep till the next day!
21569,enthusiasm,is trying to help save the earth. Let's plant more trees.
14800,enthusiasm,"Looks like rain again  Oh well, it will give me a chance to work on a new crochet pattern I have in the works."
39729,enthusiasm,ah midday - great time for breakfast
29568,enthusiasm,@LeslieIN u can see I just twitted them if its the real xmsirius that is. Let me know any other contact info. Lets transmit this!
6696,enthusiasm,"Back in lancaster bored already, can't wait to start work! Missing hel!"
37752,enthusiasm,"@marginatasnaily Yes, you really should!"
39948,enthusiasm,"@sierrabardot whaatttaatttt! she is a good cook and really creative, silly sierra"
1955,enthusiasm,@gnoserif FANTASTIC IDEA.. you the man! but I'll end up all lonely when the tourist goes home
27533,enthusiasm,looking forward to body works today
21539,enthusiasm,@marcoflores You're welcome!  How much longer until it's colored in?
13535,enthusiasm,@lfatzinger the following week would be better - I'll be gone next week
20419,enthusiasm,@mileycyrus i dnt think i can ever get tired of&quot;The Climb&quot;its just 1 of those sngs u'll always remember  ...
39836,enthusiasm,@pinkdaze Yes! That sounds like a great idea. Message me on LJ about it
3514,enthusiasm,i miss justin timberlake's voice. i want him to make new album again
2390,enthusiasm,"At work   leave for Berlin at 17:00 by car, will be a late arrival"
36415,enthusiasm,could do with some bacon and egss. mm
9325,enthusiasm,"Working on this DAMN Financial project, Definitely not having any fun this weekend  , I want to spend it wit my BAAABY waaaah"
23016,enthusiasm,I designed a new shirttttt.
39697,enthusiasm,"@usagiii sweet  i should have something new to show you by then, too"
21490,enthusiasm,@lewisking awww well iff uu are il see uu in townn  xx
23712,enthusiasm,@matildaxo ooohhh. I understand. I never get sick of her so im on your moms side  I guess your dad just likes what he likes....lol
33809,enthusiasm,"@GlobeInsurance We should have a twitter reunion it would be awesome to meet you all lol, iwonder howd iget that to pull off"
9512,enthusiasm,@TarQuianHesa Yeah they are! So stop making fun of me! I gotta get new ones
31209,enthusiasm,@theteganandsara PRIDE next weekend in Long Beach!!
33569,enthusiasm,@caitlinpasko awesome  have you played there before?
28609,enthusiasm,"haaah, making the card for mothers day,  and listening to musicc"
38526,enthusiasm,@michaelmeloni Yes! Join us! All we require is a cupcake donation...
6109,enthusiasm,Just got up. Need to leave for class in a hour.
38939,enthusiasm,had an awesome time with @spotspot85 and @xerovoltage
38392,enthusiasm,Lazy sunday is finally here
32378,enthusiasm,@chelsealitalien but you always have lee. Let's go to Paris
22054,enthusiasm,Half Marathon Training Day # 1 .........
12209,enthusiasm,Nice seeing my partner in crime/gossip drama queen partner again. I missed my Manda!
36024,enthusiasm,"@joyfrequencies Yes, but I'm quite rusty.  I'm hoping to get back to it and &quot;tune up&quot; my skills.  Tim plays guitar.  We threaten duets."
37950,enthusiasm,@whitepaws_husky Thank you!  And I hope karma beats those fuckers into the ground.
21230,enthusiasm,@Renee0579 Hope you did great - you certainly spent enough time studying.
3188,enthusiasm,Looking for photo inspiration. But everything I want to do required more space than I have
29257,enthusiasm,@mistressmia Their is no such thing as TRANSPARENCY only selective OPACITY...
32307,enthusiasm,is ur boyfriend better than mine? hell no!
32917,enthusiasm,"@xennyeh Sure, I'll be in chat in a sec   Here's the thread http://tinyurl.com/ojcf5l"
21953,enthusiasm,yep... i think i might have just made the decision to go head first...  we may be witnessing a historical moment... real talk
25242,enthusiasm,@lauraduhaime Hello How are you
4005,enthusiasm,enjoying and exploring my n96 phone.. grr.. it's awesome.. but i wanted the samsung omnia..
28119,enthusiasm,@gloria_hayden Welcome to Twitter!!
31736,enthusiasm,says she wants to be w/ marykay @ sendai right now
37132,enthusiasm,@johncmayer what about name Jana? there you've got lots of options..
33845,enthusiasm,Logging it out. Thank you Kiana...you're something else ma! masha'Allah.
18595,enthusiasm,Watching &quot;P.S. I love you&quot;. Eating chinese food. What else is there to do when you're home alone on a Friday night!
33792,enthusiasm,Tell your mom Happy mother's day ok be a good child and tell her !!!
17328,enthusiasm,"@starrjonze that's the prob, i work from home, and the bed's calling, no, screaming out my name! had really strong coffee instead"
29398,enthusiasm,"@inuyaki Macs, food, Spam ... I knew I had to follow you."
11548,enthusiasm,"@KerryQP Interesting... I never get to Etown, however."
26720,enthusiasm,@FoolProofDiva  have a good day!
20317,enthusiasm,morning everyone! another dat of school
25793,enthusiasm,waiting on the cue for kenny
17925,enthusiasm,been in bed for two days with migraines
