,sentiment,content
15895,boredom,my brother left me for the day now I am here by myself
7967,boredom,Not really feeling like my man cherishes me  wtf ! http://myloc.me/1ZLt
11916,boredom,at home and sick    http://yfrog.com/17zw1j
30419,boredom,Nothing to do. Just sitting here. I can see Mrs. P and her husband
16039,boredom,"Facebook won't load for me.  Damn it, I'm bored."
13057,boredom,"bored , cleanin the house"
7793,boredom,Have I mentioned this bus was sloooow? on it for about one hour now
18971,boredom,Cleaning the House! Im so boring..
37102,boredom,Prom is so over rated!! Irritated... Going to bed goodnight
112,boredom,i'm so tired
31472,boredom,Time to get off the puter. Nite all.
16979,boredom,"We are on the slowest train ever, it stops everywhere. Missed a quick train by a few minutes"
1242,boredom,Friday tubes at work are slow..
8321,boredom,"@shaveblog Problem is, Flash isnt GPU accelerated.  The Atom 330 can't play Youtube HD or Hulu HD fullscreen   Big deal with Plex..."
8827,boredom,Just woke up and feels so damn lazy  time to work out damnit!
2377,boredom,"don't know what to do today.  amazing weather and i'm sitting here, great."
37119,boredom,1:36 AM screw it im going to bed... one love
11313,boredom,it's realy boo0o0o0o00oring ..my book is on the side &amp; i'm not studyin for sure...
